reads_name	chrom1	start1	strand1	chrom2	start2	strand2	length	bin_name1	bin_name2	bin_index1	bin_index2	Unknown	compartment1	compartment2	compartment1_region	compartment2_region	end1	end2	interaction_type	promoter	promoter_info	distance	within_compartment	filter	label
SRR400264.179008	chr1	18992404	-	chr1	25975969	+	217	HIC_chr1_4064	HIC_chr1_5643	42	42		B	B	chr1:18500000-19000000	chr1:25500000-26000000	18992621	25976186	intra			6983565.0	2	False	0
SRR400264.70766	chr1	5462907	+	chr1	11620399	+	271	HIC_chr1_1035	HIC_chr1_2330	42	42		A	A	chr1:5000000-5500000	chr1:11500000-12000000	5463178	11620670	intra			6157492.0	2	False	0
SRR400264.19539	chr1	21002493	+	chr1	21081690	-	378	HIC_chr1_4530	HIC_chr1_4556	42	37		B	B	chr1:21000000-21500000	chr1:21000000-21500000	21002871	21082068	intra			79197.0	2	False	0
SRR400264.112497	chr1	226678340	+	chr1	228268493	-	293	HIC_chr1_58904	HIC_chr1_59311	42	42		B	B	chr1:226500000-227000000	chr1:228000000-228500000	226678633	228268786	intra			1590153.0	2	False	0
SRR400264.157239	chr1	12763153	+	chr1	34258059	+	376	HIC_chr1_2565	HIC_chr1_7454	37	42		B	B	chr1:12500000-13000000	chr1:34000000-34500000	12763529	34258435	intra			21494906.0	2	False	0
SRR400264.111690	chr1	158551652	-	chr1	206668647	+	409	HIC_chr1_38292	HIC_chr1_52828	42	42		B	B	chr1:158500000-159000000	chr1:206500000-207000000	158552061	206669056	intra			48116995.0	2	False	0
SRR400264.154204	chr1	32917500	+	chr1	219618239	-	274	HIC_chr1_7082	HIC_chr1_56896	42	42		A	A	chr1:32500000-33000000	chr1:219500000-220000000	32917774	219618513	intra			186700739.0	2	False	0
SRR400264.52809	chr1	83802105	+	chr1	99300503	+	439	HIC_chr1_21994	HIC_chr1_27037	42	42		B	B	chr1:83500000-84000000	chr1:99000000-99500000	83802544	99300942	intra			15498398.0	2	False	0
SRR400264.79313	chr1	84310148	+	chr1	85289896	-	416	HIC_chr1_22155	HIC_chr1_22447	42	42		B	B	chr1:84000000-84500000	chr1:85000000-85500000	84310564	85290312	intra			979748.0	2	False	0
SRR400264.139330	chr1	168366830	-	chr1	170657575	-	341	HIC_chr1_41189	HIC_chr1_41931	42	42		B	B	chr1:168000000-168500000	chr1:170500000-171000000	168367171	170657916	intra			2290745.0	2	False	0
SRR400264.192559	chr1	233904437	-	chr1	233989357	-	314	HIC_chr1_60882	HIC_chr1_60905	42	42		B	B	chr1:233500000-234000000	chr1:233500000-234000000	233904751	233989671	intra	1,0	promoter_22912|SLC35F3	84920.0	2	True	1
SRR400264.163653	chr1	244854591	-	chr1	245305121	+	412	HIC_chr1_64150	HIC_chr1_64251	42	42		B	A	chr1:244500000-245000000	chr1:245000000-245500000	244855003	245305533	intra	1,0	promoter_23355|SNORA100	450530.0	2	True	1
SRR400264.221745	chr1	159767512	-	chr1	160020157	+	315	HIC_chr1_38685	HIC_chr1_38749	42	42		B	B	chr1:159500000-160000000	chr1:160000000-160500000	159767827	160020472	intra			252645.0	2	False	0
SRR400264.231977	chr1	89444795	-	chr1	155465170	+	297	HIC_chr1_23907	HIC_chr1_37531	42	42		B	A	chr1:89000000-89500000	chr1:155000000-155500000	89445092	155465467	intra			66020375.0	2	False	0
